Classifier;Type of test;Accuracy;Precision;Recall;F1;Balanced Accuracy;Weighted Precision;Weighted Recall;Weighted F1
Random forest;Train;0.999;0.9985333333333334;0.9994661684238624;0.998999533115454;0.9990004346848232;0.9990004355555556;0.999;0.9990000002177778
Random forest;Test;0.5157647058823529;0.6548314606741573;0.1633224974778612;0.2614390812847658;0.534130613759354;0.5787894767849534;0.5157647058823529;0.4412497683525795
Random forest;Train Grid;0.9989333333333332;0.9988;0.9990664177113896;0.9989331910921456;0.9989333688130396;0.998933368888889;0.9989333333333332;0.9989333333522964
Random forest;Test Grid;0.5040588235294118;0.6480898876404494;0.1586358635863586;0.2548828988068935;0.5298236207944436;0.5709808712534234;0.5040588235294118;0.4286524879235009
SGD;Train;0.6547666666666667;0.6246666666666667;0.664680428459956;0.6440526514760971;0.6553295873042407;0.6565786866666666;0.6547666666666667;0.6550797351621876
SGD;Test;0.5366470588235294;0.5393258426966292;0.1490312965722801;0.2335311861438162;0.5172402794886434;0.537703524043736;0.5366470588235294;0.4621937354620368
SGD;Train Grid;0.6505666666666666;0.6301333333333333;0.6569819976367554;0.6432776397726886;0.6508185463749011;0.6514017088888889;0.6505666666666666;0.6507126234002768
SGD;Test Grid;0.5295882352941177;0.5573033707865168;0.15026660203587;0.2367089815786962;0.5188347184847846;0.5408937595995451;0.5295882352941177;0.4545474980521483
Linear SVC;Train;0.6578;0.6526;0.6594583670169766;0.656011258544431;0.6578170694942365;0.65785408;0.6578;0.6578092533382102
Linear SVC;Test;0.5197647058823529;0.5626966292134832;0.1482885230368352;0.2347206599175102;0.5172902238884071;0.5378324351055657;0.5197647058823529;0.4438001988615492
Linear SVC;Train Grid;0.6578;0.6526;0.6594583670169766;0.656011258544431;0.6578170694942365;0.65785408;0.6578;0.6578092533382102
Linear SVC;Test Grid;0.5197647058823529;0.5626966292134832;0.1482885230368352;0.2347206599175102;0.5172902238884071;0.5378324351055657;0.5197647058823529;0.4438001988615492
Logistic Regressor;Train;0.6574;0.6541333333333333;0.6584351093812911;0.6562771720955121;0.6574067188183446;0.6574213422222221;0.6574;0.6574036559616799
Logistic Regressor;Test;0.5191764705882352;0.5640449438202247;0.1483626906253694;0.2349307375514788;0.5173964255140663;0.5381077776696717;0.5191764705882352;0.4431776757799002
Logistic Regressor;Train Grid;0.6588333333333334;0.6547333333333333;0.6601465349196747;0.6574287913779829;0.658844014004835;0.6588669533333333;0.6588333333333334;0.658839068441407
Logistic Regressor;Test Grid;0.5195294117647059;0.5649438202247191;0.1486342674707343;0.2353491855457779;0.5176625627415711;0.5386849172484827;0.5195294117647059;0.4435790228035445
KNN;Train;0.771;0.7814;0.7654780564263323;0.7733570863024545;0.7711172961870223;0.7712163200000001;0.771;0.771024771319266
KNN;Test;0.4903529411764706;0.5676404494382022;0.1408812046848856;0.2257372654155496;0.5105775034003146;0.5256096454528882;0.4903529411764706;0.4121631272953391
Radious KNN;Train;0.9719333333333332;0.949;0.9946198993851314;0.9712745633187772;0.9729282566787972;0.9729852088888888;0.9719333333333332;0.971948102421251
Radious KNN;Test;0.8691176470588236;0.0;0.0;0.0;0.8691176470588236;1.0;0.8691176470588236;0.9299763965381588
MLP;Train;0.9987;0.9982;0.9991991991991992;0.9986993496748374;0.9987004987004988;0.9987005;0.9987;0.998700000325
MLP;Test;0.4817647058823529;0.5469662921348315;0.1349373544738884;0.2164710067591604;0.5043186960315815;0.5117464031411915;0.4817647058823529;0.4025589846728711
Decision Tree;Train;0.999;0.998;1.0;0.998998998998999;0.999001996007984;0.999002;0.999;0.999000001000001
Decision Tree;Test;0.5104117647058823;0.5874157303370786;0.1500229568411386;0.239005211666819;0.5196302042892952;0.5442205447430783;0.5104117647058823;0.4340724198867173
Ada Boost;Train;0.7077333333333333;0.7007333333333333;0.7106828938471941;0.7056730446458545;0.7077740570485149;0.7078313333333333;0.7077333333333333;0.7077476551017667
Ada Boost;Test;0.4801176470588235;0.7150561797752809;0.1624298111281266;0.2647254575707154;0.5372176814141674;0.6004888614522979;0.4801176470588235;0.4059357146464041
Voting;Train;0.6900333333333334;0.6606;0.7019196713182687;0.6806333070027818;0.6906941427799553;0.6917659755555556;0.6900333333333334;0.6903020968359035
Voting;Test;0.5645882352941176;0.48943820224719103;0.14806254248810333;0.227348643006263;0.5151406543441035;0.5384955334646264;0.5645882352941176;0.49374306295846265
