Classifier;Type of test;Accuracy;Precision;Recall;F1;Balanced Accuracy;Weighted Precision;Weighted Recall;Weighted F1
Random forest;Train;0.999;0.9988666666666668;0.9991331021605762;0.9989998666488864;0.999000035484447;0.9990000355555556;0.999;0.9990000000177778
Random forest;Test;0.7235294117647059;0.6997752808988764;0.2785829307568438;0.3985154850268748;0.6100214627493797;0.7181210262328853;0.7235294117647059;0.681776305160182
Random forest;Train Grid;0.9987666666666668;0.9982666666666666;0.999265932599266;0.9987660496915124;0.998767165433832;0.9987671666666668;0.9987666666666668;0.998766666975
Random forest;Test Grid;0.7068823529411765;0.6898876404494382;0.2633836650652024;0.3812243884266733;0.6008110591706248;0.7027380585853231;0.7068823529411765;0.6616614932600666
SGD;Train;0.7448666666666667;0.7585333333333333;0.7383517196625567;0.7483064781321932;0.7450497460547191;0.7452402222222222;0.7448666666666667;0.744914328805932
SGD;Test;0.7246470588235294;0.7478651685393258;0.2876901798063623;0.415532525908353;0.618836174068659;0.7302398339489792;0.7246470588235294;0.6823193829878511
SGD;Train Grid;0.7548;0.6942;0.7899408284023669;0.7389823291462636;0.7585986696417828;0.76214472;0.7548;0.755703781683704
SGD;Test Grid;0.7937058823529411;0.6804494382022472;0.351276102088167;0.4633511859219587;0.6476238666469204;0.7777235008941124;0.7937058823529411;0.7686270714278148
Linear SVC;Train;0.7291666666666666;0.7155333333333334;0.7355904324583648;0.7254232705890304;0.7293371722289228;0.7295384022222223;0.7291666666666666;0.7292170152146541
Linear SVC;Test;0.7321176470588235;0.7074157303370786;0.2873836041628629;0.4087250064918203;0.6154439499595882;0.7266807175712353;0.7321176470588235;0.6921270444607593
Linear SVC;Train Grid;0.7291666666666666;0.7155333333333334;0.7355904324583648;0.7254232705890304;0.7293371722289228;0.7295384022222223;0.7291666666666666;0.7292170152146541
Linear SVC;Test Grid;0.7321176470588235;0.7074157303370786;0.2873836041628629;0.4087250064918203;0.6154439499595882;0.7266807175712353;0.7321176470588235;0.6921270444607593
Logistic Regressor;Train;0.7463666666666666;0.7275333333333334;0.7560096986491167;0.7414982164090368;0.7467167028420656;0.7470760555555557;0.7463666666666666;0.7464566609213881
Logistic Regressor;Test;0.7528823529411764;0.7231460674157303;0.3097805159799769;0.4337511794042324;0.6288018283779269;0.7469069193218837;0.7528823529411764;0.7172365738421514
Logistic Regressor;Train Grid;0.7584666666666666;0.7347333333333333;0.7713465845464725;0.7525949194209233;0.7590503289331141;0.7595932088888889;0.7584666666666666;0.7586027920912228
Logistic Regressor;Test Grid;0.7679411764705882;0.7240449438202248;0.3259813840550384;0.4495604855588112;0.6375304166916427;0.7598690232312626;0.7679411764705882;0.7357032479047441
KNN;Train;0.8065;0.7899333333333334;0.8170033786113218;0.8032403484391418;0.80683685094985;0.8070489088888889;0.8065;0.8065531215144358
KNN;Test;0.7000588235294117;0.651685393258427;0.2511257360581919;0.3625453181647706;0.5910447850075389;0.6884393782480768;0.7000588235294117;0.6539900019248922
Radious KNN;Train Grid;0.9761;0.9562;0.9958342012080816;0.9756147331904907;0.9768553579612248;0.97689202;0.9761;0.9761094683885766
Radious KNN;Test Grid;0.8464117647058823;0.0979775280898876;0.2652068126520681;0.143091565474237;0.5705747254013215;0.9174813575297226;0.8464117647058823;0.8782910087055592
MLP;Train;0.999;0.9992;0.9988004798080768;0.999000199960008;0.9990000798400128;0.99900008;0.999;0.99900000004
MLP;Test;0.7537647058823529;0.7141573033707865;0.3092041253162094;0.4315589353612167;0.6277915070557103;0.7459531342465692;0.7537647058823529;0.7185151333001862
Decision Tree;Train;0.999;0.998;1.0;0.998998998998999;0.999001996007984;0.999002;0.999;0.999000001000001
Decision Tree;Test;0.633235294117647;0.6161797752808988;0.2030509478672985;0.3054472540937952;0.5598588072669826;0.6280095524070577;0.633235294117647;0.5739339930271312
Ada Boost;Train;0.6482;0.6342666666666666;0.652448223837608;0.6432289906023934;0.6483151743134077;0.6485882755555554;0.6482;0.6482683109319548
Ada Boost;Test;0.6558235294117647;0.6292134831460674;0.2178649237472767;0.3236620043925558;0.5699216807122992;0.6482574512823438;0.6558235294117647;0.6007755761747259
Voting;Train;0.7839;0.7555333333333333;0.8009753339458618;0.7775909979759169;0.7848167313852709;0.7855093355555556;0.7839;0.784074028742099
Voting;Test;0.785;0.6975280898876405;0.3423026025584473;0.4592395324752182;0.6441578791710896;0.7713301089374323;0.785;0.7573879108874593
